binary,metric,value,config
gcc_s,system.l3.ReadSharedReq.missRate::cpu.icache.prefetcher,0.813953,nextline
gcc_s,system.l3.ReadSharedReq.missRate::l2.prefetcher,0.923709,nextline
gcc_s,system.l3.ReadSharedReq.avgMissLatency::cpu.dcache.prefetcher,69899.909965,nextline
gcc_s,system.l3.ReadSharedReq.avgMissLatency::cpu.icache.prefetcher,89006.142857,nextline
gcc_s,system.l3.ReadSharedReq.avgMissLatency::l2.prefetcher,41857.583227,nextline
gcc_s,system.l3.ReadSharedReq.mshrHits::cpu.dcache.prefetcher,1145,nextline
gcc_s,system.l3.ReadSharedReq.mshrHits::cpu.icache.prefetcher,2,nextline
gcc_s,system.l3.ReadSharedReq.mshrHits::l2.prefetcher,228945,nextline
gcc_s,system.l3.ReadSharedReq.mshrMisses::cpu.dcache.prefetcher,7696,nextline
gcc_s,system.l3.ReadSharedReq.mshrMisses::cpu.icache.prefetcher,33,nextline
gcc_s,system.l3.ReadSharedReq.mshrMisses::l2.prefetcher,8995,nextline
gcc_s,system.l3.ReadSharedReq.mshrMissLatency::cpu.dcache.prefetcher,532727445,nextline
gcc_s,system.l3.ReadSharedReq.mshrMissLatency::cpu.icache.prefetcher,2839491,nextline
gcc_s,system.l3.ReadSharedReq.mshrMissLatency::l2.prefetcher,596804886,nextline
gcc_s,system.l3.ReadSharedReq.mshrMissRate::cpu.dcache.prefetcher,0.823718,nextline
gcc_s,system.l3.ReadSharedReq.mshrMissRate::cpu.icache.prefetcher,0.767442,nextline
gcc_s,system.l3.ReadSharedReq.mshrMissRate::l2.prefetcher,0.034920,nextline
gcc_s,system.l3.ReadSharedReq.avgMshrMissLatency::cpu.dcache.prefetcher,69221.341606,nextline
gcc_s,system.l3.ReadSharedReq.avgMshrMissLatency::cpu.icache.prefetcher,86045.181818,nextline
gcc_s,system.l3.ReadSharedReq.avgMshrMissLatency::l2.prefetcher,66348.514286,nextline
gcc_s,system.l3.prefetcher.demandMshrMisses,25110,nextline
gcc_s,system.l3.prefetcher.pfIssued,270883,nextline
gcc_s,system.l3.prefetcher.pfUnused,3363,nextline
gcc_s,system.l3.prefetcher.pfUseful,13544,nextline
gcc_s,system.l3.prefetcher.pfUsefulButMiss,0,nextline
gcc_s,system.l3.prefetcher.accuracy,0.049999,nextline
gcc_s,system.l3.prefetcher.coverage,0.350391,nextline
gcc_s,system.l3.prefetcher.pfHitInCache,6420,nextline
gcc_s,system.l3.prefetcher.pfHitInMSHR,16948,nextline
gcc_s,system.l3.prefetcher.pfHitInWB,0,nextline
gcc_s,system.l3.prefetcher.pfLate,23368,nextline
gcc_s,system.l3.prefetcher.pfIdentified,271370,nextline
gcc_s,system.l3.prefetcher.pfBufferHit,0,nextline
gcc_s,system.l3.prefetcher.pfInCache,0,nextline
gcc_s,system.l3.prefetcher.pfRemovedDemand,487,nextline
gcc_s,system.l3.prefetcher.pfRemovedFull,0,nextline
gcc_s,system.l3.prefetcher.pfSpanPage,4411,nextline
gcc_s,system.l3.prefetcher.pfUsefulSpanPage,148,nextline
gcc_s,system.l3.prefetcher.power_state.pwrStateResidencyTicks::UNDEFINED,39131733743685,nextline
gcc_s,system.l3.tags.occupancies::cpu.dcache.prefetcher,894.977618,nextline
gcc_s,system.l3.tags.occupancies::cpu.icache.prefetcher,3.231540,nextline
gcc_s,system.l3.tags.occupancies::l2.prefetcher,1080.324314,nextline
gcc_s,system.l3.tags.occupancies::l3.prefetcher,27847.830318,nextline
gcc_s,system.l3.tags.avgOccs::cpu.dcache.prefetcher,0.027313,nextline
gcc_s,system.l3.tags.avgOccs::cpu.icache.prefetcher,0.000099,nextline
